,img_path,cls_name
0,/data/datasets/scam_donation_2024/scammers_images/all/telegram_1513088507-bainianzhenxiang.png,Games & Cartoon
1,/data/datasets/scam_donation_2024/scammers_images/all/youtube_2b5YdK8Nzzw.png,Games & Cartoon
2,/data/datasets/scam_donation_2024/scammers_images/all/youtube_zpVRx505C9w.png,Politics/War
3,/data/datasets/scam_donation_2024/scammers_images/all/twitter_1120324746.png,Games & Cartoon
4,/data/datasets/scam_donation_2024/scammers_images/all/youtube_WkcsnAny4Cw.png,Politics/War
5,/data/datasets/scam_donation_2024/scammers_images/all/facebook_100044245938469.png,Miscellaneous
6,/data/datasets/scam_donation_2024/scammers_images/all/facebook_100094729856682.png,Games & Cartoon
7,/data/datasets/scam_donation_2024/scammers_images/all/telegram_1342300853-zimatv.png,Frontimage Man/Woman
8,/data/datasets/scam_donation_2024/scammers_images/all/twitter_72198806.png,Frontimage Man/Woman
9,/data/datasets/scam_donation_2024/scammers_images/all/youtube_Xjw3PBXh-2A.png,Frontimage Man/Woman
10,/data/datasets/scam_donation_2024/scammers_images/all/youtube_GciqSzifJsM.png,Frontimage Man/Woman
11,/data/datasets/scam_donation_2024/scammers_images/all/facebook_100063787112239.png,Games & Cartoon
12,/data/datasets/scam_donation_2024/scammers_images/all/youtube_XLOAe8vsoes.png,Social Content/Posts
13,/data/datasets/scam_donation_2024/scammers_images/all/facebook_100080751829860.png,Pets
14,/data/datasets/scam_donation_2024/scammers_images/all/twitter_16729099.png,Association Logos
15,/data/datasets/scam_donation_2024/scammers_images/all/facebook_100064628772149.png,Association Logos
16,/data/datasets/scam_donation_2024/scammers_images/all/youtube_5TCxpiutAg8.png,Frontimage Man/Woman
17,/data/datasets/scam_donation_2024/scammers_images/all/twitter_1470567816352915458.png,Association Logos
18,/data/datasets/scam_donation_2024/scammers_images/all/facebook_100093402830207.png,Pets
19,/data/datasets/scam_donation_2024/scammers_images/all/youtube_cGMpQ6QjeNY.png,Social Content/Posts
20,/data/datasets/scam_donation_2024/scammers_images/all/youtube_MaHSy2Kreys.png,Social Content/Posts
21,/data/datasets/scam_donation_2024/scammers_images/all/telegram_1285555668-lf_tCgKl-jIxYzRk.png,Politics/War
22,/data/datasets/scam_donation_2024/scammers_images/all/facebook_100064348103226.png,Association Logos
23,/data/datasets/scam_donation_2024/scammers_images/all/youtube_lCMg41iC0JY.png,Social Content/Posts
24,/data/datasets/scam_donation_2024/scammers_images/all/facebook_100079290557510.png,Association Logos
25,/data/datasets/scam_donation_2024/scammers_images/all/instagram_thesatoproject.png,Pets
26,/data/datasets/scam_donation_2024/scammers_images/all/twitter_2798759391.png,Pets
27,/data/datasets/scam_donation_2024/scammers_images/all/facebook_100093324527783.png,Association Logos
28,/data/datasets/scam_donation_2024/scammers_images/all/facebook_100064944094649.png,Association Logos
29,/data/datasets/scam_donation_2024/scammers_images/all/facebook_100077134855660.png,Association Logos
30,/data/datasets/scam_donation_2024/scammers_images/all/telegram_1306302985-gifki_anime.png,Games & Cartoon
31,/data/datasets/scam_donation_2024/scammers_images/all/twitter_19444865.png,Frontimage Man/Woman
32,/data/datasets/scam_donation_2024/scammers_images/all/telegram_1003740416-kashinguru.png,Association Logos
33,/data/datasets/scam_donation_2024/scammers_images/all/youtube_Gbh_iTz2JjM.png,Pets
