n_components,n_neighbors,min_cluster_size,min_dist,metric, calinski_harabasz_score_x,davies_bouldin_score_x,silhouette_score_x,n_clusters_x,noise_size_x, calinski_harabasz_score_embedding,davies_bouldin_score_embedding,silhouette_score_embedding,n_clusters_embedding,noise_size_embedding
2,3,5,1.0,euclidean,5.692258114183565,1.9215363165524242,0.08734688,2,0,47.51311707507115,0.3913716512328805,0.5086401,2,0
2,7,5,1.0,euclidean,3.3050837348189113,3.8042272247265863,0.03642239,3,8,11.11977567381718,2.758554187452466,0.1635847,3,8
2,11,5,1.0,euclidean,4.542573611008942,3.5066697484589437,0.02066718,3,17,19.470132407061055,1.9089325984838184,0.090584226,3,17
2,15,5,1.0,euclidean,3.365061425447345,3.807221492494604,-0.069131024,35,436,16.042981504165652,1.593702939577089,-0.23180056,35,436
2,19,5,1.0,euclidean,4.215628976866702,3.7064344133500224,-0.05365232,26,418,23.40697836715491,1.4828958844530766,-0.2602439,26,418
2,23,5,1.0,euclidean,3.5040573195721616,4.959112807538076,0.028272321,3,23,6.19099394068174,5.6273893268601825,0.0146227395,3,23
2,27,5,1.0,euclidean,3.1467104196635223,3.9535787117861596,-0.0688441,37,432,17.29363187845653,1.493325176064397,-0.21358483,37,432
2,31,5,1.0,euclidean,4.654308911735232,4.9083070122798835,-0.04345652,4,120,11.57941252839987,3.0567937951453783,-0.15469131,4,120
2,35,5,1.0,euclidean,3.836882450207358,4.386427447298445,-0.026188146,6,110,14.579374733139806,2.2227465332102905,-0.1887577,6,110
2,39,5,1.0,euclidean,4.803379229357175,6.3623086126649495,0.02811474,3,87,8.279681048738928,8.219219745845503,0.005396116,3,87
2,43,5,1.0,euclidean,4.39719559533304,5.756164746935067,0.016913133,4,109,12.945083141639433,3.947957383202234,-0.086779095,4,109
2,47,5,1.0,euclidean,4.619668301274599,5.814704758915347,-0.0019770775,3,92,5.710151806093792,8.253698561276122,0.0012544752,3,92
2,51,5,1.0,euclidean,3.1493478630150737,3.8834281904451564,-0.066514365,35,435,14.182421008624537,1.5125905146367409,-0.2510062,35,435
2,55,5,1.0,euclidean,5.5779508919254805,5.420068346877933,0.032765176,3,88,7.1271520296124,5.347283636584713,-0.055541046,3,88
2,59,5,1.0,euclidean,4.253000118160246,3.9403762127305635,-0.05184522,23,353,31.635816473356233,1.4754444444743198,-0.20326088,23,353
2,63,5,1.0,euclidean,5.467378389606267,5.202369000119901,0.025078584,4,137,9.720503694468531,3.9925297599506013,-0.056455586,4,137
2,67,5,1.0,euclidean,6.240537313898428,4.113825127254386,-0.045602366,14,247,45.544799669385895,3.470018265607368,-0.25254285,14,247
2,71,5,1.0,euclidean,4.02151289681415,5.410864159715818,0.002177984,4,78,10.818743775647455,3.458229687788278,-0.09658395,4,78
2,75,5,1.0,euclidean,3.0774987194309547,3.8585381876855047,-0.072446935,35,457,14.553027381303549,2.9647969835872012,-0.25864735,35,457
2,79,5,1.0,euclidean,4.219119661000596,5.506417599664701,0.019737633,3,78,11.884361675330352,3.3901788974637053,0.011129298,3,78
2,83,5,1.0,euclidean,3.2245760905446934,5.97043662692215,0.028291868,3,64,5.388716719344503,4.889912558037683,-0.05282496,3,64
2,87,5,1.0,euclidean,4.487558861812914,6.2617143745937645,0.02843984,3,93,5.353646521469442,8.353966356193421,0.0067830444,3,93
2,91,5,1.0,euclidean,3.7108159572616346,6.365835953806472,0.023476694,3,75,8.92610419498828,4.589275379036973,0.052329805,3,75
2,95,5,1.0,euclidean,2.8175364470667277,3.8160267326143797,-0.082692064,40,439,14.511776180008644,4.3255961333419775,-0.21406619,40,439
2,100,5,1.0,euclidean,3.4633150679634612,5.779061861809559,0.010893607,4,103,10.47465792064207,4.045453117202654,-0.085875966,4,103
2,3,10,1.0,euclidean,7.347522934605874,4.5979930156397115,-0.031286284,6,583,32.21565140213372,2.79474016713235,-0.29035708,6,583
2,7,10,1.0,euclidean,15.878942852096877,6.219365420830981,-0.008457042,4,299,166.47048477589263,2.3171306670673038,0.12744294,4,299
2,11,10,1.0,euclidean,7.713225025805172,4.1338671775340785,-0.03357619,8,498,47.845820509740285,2.2865614372980256,-0.19468836,8,498
2,15,10,1.0,euclidean,10.325905135099434,4.3110133926103105,-0.011062471,8,394,71.36923151028773,1.8619938215837726,-0.06193489,8,394
2,19,10,1.0,euclidean,11.983641036000861,4.742492296579833,-0.011821846,6,425,83.189458998988,2.2584751424663336,-0.1042793,6,425
2,23,10,1.0,euclidean,9.52318514715421,5.233823680539541,0.02795256,4,290,37.398956719225595,2.2325478902720315,-0.079451874,4,290
2,27,10,1.0,euclidean,7.694984672053131,4.452208088196852,-0.037515253,8,516,45.00324036883456,2.1400250306078186,-0.26877508,8,516
2,31,10,1.0,euclidean,12.296582033272978,5.58565202828172,-0.014870616,5,466,78.73585320826075,2.3094314593844776,-0.1171123,5,466
2,35,10,1.0,euclidean,8.42748061304666,5.158013961523079,-0.03658827,6,539,54.354008491465876,2.0140965125983876,-0.21830098,6,539
2,39,10,1.0,euclidean,21.90390850837286,6.224352296739245,0.022900091,3,405,148.65126990776616,2.036060365899809,0.057901993,3,405
2,43,10,1.0,euclidean,11.101097413748233,4.898743588722758,-0.017791402,6,421,76.33032737451526,1.821459074893447,-0.115537345,6,421
2,47,10,1.0,euclidean,16.135635807183792,5.446647288120121,-0.015119571,4,474,109.11285269633633,1.8177429170719852,-0.03271484,4,474
2,51,10,1.0,euclidean,9.757465717815105,4.811632976235992,-0.026893852,6,512,56.73419992928005,3.034793305575816,-0.20072563,6,512
2,55,10,1.0,euclidean,6.906466816326421,4.637890780336091,-0.042785585,8,536,38.267956159741786,5.138326030028839,-0.25937802,8,536
2,59,10,1.0,euclidean,11.138258217975782,5.481890261875325,-0.016565025,6,400,100.04282479553437,2.428275284380407,-0.082221426,6,400
2,63,10,1.0,euclidean,11.377819595613103,5.159179193402458,-0.021508273,5,505,66.73748244453247,4.411783117961638,-0.16796242,5,505
2,67,10,1.0,euclidean,15.827310572252154,5.960062364795569,-0.0031904504,4,355,131.9939031793183,2.0540428491889684,0.04974733,4,355
